idx,u,v,has_edge,nvic_with,nvic_without,l1_with,l1_without,l1_with_minus_without,status_with,status_without,cache_l1,recompute_vs_cache_l1
31115,1306,2504,1,20,18,4.028104625300234,0.0,4.028104625300234,ok,disconnected,4.028104625352101,5.297753902233637e-11
31426,835,2634,1,5,3,0.6940308207478354,0.0,0.6940308207478354,ok,ok,0.6940308206645907,8.32448138199382e-11
32220,4242,5558,1,5,3,0.6976558887308341,0.0,0.6976558887308341,ok,ok,0.6976558887214812,9.353011420909496e-12
33951,1571,7004,1,5,3,0.6902773874451138,0.0,0.6902773874451138,ok,ok,0.6902773874658206,2.250361008648838e-11
34207,3769,5055,1,26,24,6.482829923022982,0.0,6.482829923022982,ok,ok,6.482829922828691,2.483364347494188e-10
37490,1707,1831,1,9,7,1.667048730819856,0.0,1.667048730819856,ok,ok,1.667048730737832,8.202406809321161e-11
39517,225,2215,1,14,12,2.7350891759068197,0.0,2.7350891759068197,ok,ok,2.7350891758576226,4.919743779030483e-11
39590,1683,4485,1,34,32,8.044035707433398,0.0,8.044035707433398,ok,ok,8.044035707922673,5.088393317809192e-10
40404,4019,5400,1,4,2,0.327116967538583,0.0,0.327116967538583,ok,disconnected,0.32711696754716196,8.578991683716453e-12
42838,650,2875,1,10,8,1.8617464982652288,0.0,1.8617464982652288,ok,ok,1.8617464982055247,5.970428318402554e-11
44339,3082,5025,1,4,2,0.4660039998548725,0.0,0.4660039998548725,ok,ok,0.46600399985270546,2.167047791212795e-12
44587,4673,5754,1,12,10,2.44805924534133,0.0,2.44805924534133,ok,ok,2.448059245007868,3.575081480855502e-10
45196,2963,6307,1,4,2,0.3379980704394343,0.0,0.3379980704394343,ok,disconnected,0.3379980704452005,5.766283284192042e-12
45285,5593,7252,1,21,19,5.204884543764916,0.0,5.204884543764916,ok,ok,5.873778710491328,0.6688941667264121
46105,6169,7532,1,19,17,3.2925848958916846,0.0,3.2925848958916846,ok,disconnected,3.292584895920552,2.886718641903485e-11
46328,1759,2603,1,4,2,0.34750589338731097,0.0,0.34750589338731097,ok,disconnected,0.34750589336649124,2.081978860146716e-11
46491,2354,3695,1,9,7,1.63910210454771,0.0,1.63910210454771,ok,ok,1.639102104588302,4.204695619458576e-11
47221,1772,3997,1,15,13,2.7371038037643545,0.0,2.7371038037643545,ok,disconnected,2.7371038037722406,6.136383068344742e-11
48598,267,5518,1,12,10,2.447258492614695,0.0,2.447258492614695,ok,ok,2.4472584932881256,6.734306723377159e-10
50298,1293,4785,1,24,22,5.785535533433096,0.0,5.785535533433096,ok,ok,6.54940025418212,0.763864720749024
51467,2439,4237,1,19,17,4.1342371015454535,0.0,4.1342371015454535,ok,ok,4.134237101717024,1.8661623635285451e-10
52379,322,4641,1,21,19,5.24778475176752,0.0,5.24778475176752,ok,ok,5.78074062308247,0.5329558713149509
53161,4547,6697,1,32,30,7.9502011312269625,0.0,7.9502011312269625,ok,ok,7.950201130809635,4.518553864407693e-10
54358,4482,6967,1,22,20,5.148948831021344,0.0,5.148948831021344,ok,ok,5.148948831098188,7.684386460482528e-11
54646,4116,5428,1,10,8,1.9151379560168618,0.0,1.9151379560168618,ok,ok,1.915137956187477,1.7061535517726156e-10
56410,1485,7395,1,9,7,1.6465506740022438,0.0,1.6465506740022438,ok,ok,0.9439774295732575,0.7025732444289864
56977,3749,4509,1,19,17,4.597191683161493,0.0,4.597191683161493,ok,ok,4.597191683401649,2.401551457698048e-10
57794,1466,4494,1,17,15,3.919129685529066,0.0,3.919129685529066,ok,ok,3.9191296854845,7.534906032446997e-11
59162,5890,7253,1,4,2,0.4588970688432441,0.0,0.4588970688432441,ok,ok,0.4588970688387115,4.532535805013005e-12
60923,1896,6395,1,5,3,0.671431616998995,0.0,0.671431616998995,ok,ok,0.6714316169829874,1.6007795783368195e-11
60971,3384,6409,1,15,13,3.1567777748438934,0.0,3.1567777748438934,ok,ok,3.493701576867207,0.33692380202331335
61321,215,5435,1,6,4,0.9127126848862986,0.0,0.9127126848862986,ok,ok,0.912712684896266,9.967641295682839e-12
61636,2111,7312,1,14,12,3.165394883371374,0.0,3.165394883371374,ok,ok,3.1653948833508956,4.1124978422679703e-11
61638,2634,5982,1,10,8,1.972056651079202,0.0,1.972056651079202,ok,ok,1.972056650928923,1.6286671317145007e-10
62741,3183,6705,1,21,19,4.984696813879358,0.0,4.984696813879358,ok,ok,6.3179614081572035,1.3332645942778456
64078,2607,4108,1,12,10,2.3809177239857284,0.0,2.3809177239857284,ok,ok,2.380917723774654,2.1107449121871014e-10
64315,3995,6241,1,5,3,0.5742955216740075,0.0,0.5742955216740075,ok,disconnected,0.5742955216688915,5.115992698923044e-12
65109,593,7302,1,13,11,2.616570983532318,0.0,2.616570983532318,ok,ok,3.042911624261936,0.426340640729618
65386,1833,6265,1,7,5,0.7556378796706553,0.0,0.7556378796706553,ok,disconnected,0.7556378795967658,7.388942235841967e-11
65523,552,1414,1,26,24,5.9924845827139475,0.0,5.9924845827139475,ok,ok,5.99248458263705,8.17614032033731e-11
66179,4241,4669,1,14,12,3.0432634020894436,0.0,3.0432634020894436,ok,ok,1.1949587093022305,1.848304692787213
66847,305,616,1,22,20,4.906007035568201,0.0,4.906007035568201,ok,ok,4.906007035605604,7.016418002159241e-11
67918,5404,5505,1,8,6,1.4017238156156506,0.0,1.4017238156156506,ok,ok,1.4017238156054477,1.1227714591388605e-10
68658,2215,7006,1,15,13,3.1498511218449385,0.0,3.1498511218449385,ok,ok,3.149851121901963,5.7024066024702336e-11
68687,42,4384,1,37,35,8.93936819261483,0.0,8.93936819261483,ok,ok,11.242452490959963,2.3030842983451327
69025,1054,4758,1,12,10,2.2827153657589796,0.0,2.2827153657589796,ok,ok,2.282715365814647,5.5673805843259316e-11
69639,1571,7148,1,25,23,5.980056335172389,0.0,5.980056335172389,ok,ok,5.980056335068385,1.9636220427443618e-10
69745,3645,7639,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
69876,2324,7144,1,14,12,2.8632913309874377,0.0,2.8632913309874377,ok,ok,2.8632913311646244,2.2171561808725926e-10
70549,4870,5148,1,20,18,4.839756175819931,0.0,4.839756175819931,ok,ok,6.116346223183692,1.276590047363761
71237,481,1096,1,23,21,5.103492693504886,0.0,5.103492693504886,ok,ok,5.103492693045336,6.075513425685131e-10
72848,358,2198,1,33,31,7.726935168665888,0.0,7.726935168665888,ok,disconnected,0.07284235007087829,7.654092818595008
72957,3513,7624,1,14,12,2.5967959126289872,0.0,2.5967959126289872,ok,disconnected,2.5967959125318627,1.148569434006319e-10
73087,2587,4384,1,26,24,6.051396131042178,0.0,6.051396131042178,ok,ok,6.05903857632552,0.014547527687046646
73501,260,2911,1,45,43,11.495364047552494,0.0,11.495364047552494,ok,ok,15.251284574210032,3.7559205266575386
74173,3627,7535,1,6,4,0.9186635361118474,0.0,0.9186635361118474,ok,ok,0.9186635360979758,1.6349355896894124e-11
76542,3224,4294,1,10,8,1.6720141202726948,0.0,1.6720141202726948,ok,disconnected,1.6720141201579848,1.1471008865004961e-10
76884,2813,4280,1,10,8,1.8511930190445882,0.0,1.8511930190445882,ok,ok,1.8511930190026935,4.1894855640212114e-11
76901,406,2802,1,11,9,1.9421946499812,0.0,1.9421946499812,ok,disconnected,1.9421946500702447,2.0855414617493295e-10
77040,1589,7067,1,-1,0,0.0,0.0,0.0,exc:ZeroDivisionError,empty_vicinity,0.0,0.0
77105,446,4296,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
77438,1737,6347,1,17,15,3.676185669419676,0.0,3.676185669419676,ok,ok,3.67618566916963,2.500460671850391e-10
78609,1990,2625,1,4,2,0.3478701664272739,0.0,0.3478701664272739,ok,disconnected,0.3478701664208693,6.4046268288819874e-12
79013,6498,6798,1,5,3,0.46353997763903154,0.0,0.46353997763903154,ok,disconnected,0.46353997761859994,2.0431554018096598e-11
79329,994,6896,1,-1,0,0.0,0.0,0.0,exc:ZeroDivisionError,empty_vicinity,0.0,0.0
79876,1211,5404,1,37,35,9.054247168011981,0.0,9.054247168011981,ok,ok,13.024158629118508,3.969911461106527
80637,1115,2949,1,16,14,3.437573971141184,0.0,3.437573971141184,ok,ok,3.437573971262397,1.2121259551634012e-10
82066,107,4490,1,4,2,0.45810778364916765,0.0,0.45810778364916765,ok,ok,0.45810778364711496,2.0527086974642117e-12
82974,160,1452,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
82996,741,884,1,7,5,1.0055324422940977,0.0,1.0055324422940977,ok,disconnected,1.0055324421479308,1.4616700905190072e-10
83917,5037,6952,1,17,15,3.7987221070813875,0.0,3.7987221070813875,ok,ok,3.7987221069921184,8.926903660722019e-11
84412,5350,7067,1,6,4,0.8059179636562672,0.0,0.8059179636562672,ok,disconnected,0.8059179635506948,1.0557233559582713e-10
84606,6130,6144,1,7,5,1.1033245802442182,0.0,1.1033245802442182,ok,ok,1.1033245802723406,2.812243840577544e-11
86950,7266,7573,1,24,22,6.025575066080673,0.0,6.025575066080673,ok,ok,6.7418592919907265,0.7162842259100525
87258,6423,6550,1,7,5,1.1596646812356786,0.0,1.1596646812356786,ok,ok,1.1596646811909668,5.1869605832699506e-11
88128,147,4498,1,24,22,5.367316048509026,0.0,5.367316048509026,ok,ok,5.367316048823858,3.1483199380843985e-10
88828,3264,4376,1,32,30,7.397855728766818,0.0,7.397855728766818,ok,ok,14.644262593650359,7.24640686488354
89148,1399,4680,1,22,20,5.373006761903385,0.0,5.373006761903385,ok,ok,8.71503052916915,3.3420237672657653
89283,267,5816,1,12,10,2.420640802070838,0.0,2.420640802070838,ok,ok,2.420640802234269,1.6377223188701606e-10
91001,5604,5992,1,14,12,2.8684615119912222,0.0,2.8684615119912222,ok,ok,2.868461511937182,5.404052205726373e-11
91721,778,7055,1,4,2,0.46092237482723786,0.0,0.46092237482723786,ok,ok,0.46092237481791143,9.326444130874911e-12
92444,766,2202,1,18,16,3.9414468432851764,0.0,3.9414468432851764,ok,ok,3.8821697635528167,0.059802982322987475
93378,578,3984,1,15,13,3.3847329103986232,0.0,3.3847329103986232,ok,ok,3.3847329106734145,2.747916894030311e-10
93606,862,6783,1,3,-1,0.23303247133719596,0.0,0.23303247133719596,ok,exc:IndexError,0.23303247133719596,0.0
93998,1419,6818,1,5,3,0.6877016926253879,0.0,0.6877016926253879,ok,ok,0.6877016926252159,5.851187590000251e-13
95564,800,5214,1,19,17,4.519818393752738,0.0,4.519818393752738,ok,ok,6.161891431971254,1.6420730382185162
95966,1981,3763,1,8,6,1.420346069988185,0.0,1.420346069988185,ok,ok,1.4203460699828554,1.4997857122889258e-11
95988,6222,7110,1,7,5,1.1734076631437433,0.0,1.1734076631437433,ok,ok,1.1734076631417296,4.246377555139347e-12
96374,3911,4308,1,8,6,1.414349601652721,0.0,1.414349601652721,ok,ok,1.4143496016600223,1.6867410246312886e-11
96409,3959,5098,1,17,15,4.016251253659972,0.0,4.016251253659972,ok,ok,4.016251253581385,8.324152478422775e-11
96713,5372,6315,1,31,29,8.246887812256167,0.0,8.246887812256167,ok,ok,9.410292324621828,1.16340451236566
97058,2496,5326,1,13,11,2.3143349884137785,0.0,2.3143349884137785,ok,disconnected,2.3143349884844957,7.071740415476313e-11
97774,445,6702,1,5,3,0.6929893751809407,0.0,0.6929893751809407,ok,ok,0.6929893751760191,4.9215770347998955e-12
98559,2002,4844,1,5,3,0.6885236327708677,0.0,0.6885236327708677,ok,ok,0.6885236327928983,2.2030779978088333e-11
99236,296,3744,1,4,2,0.31631524365503594,0.0,0.31631524365503594,ok,disconnected,0.3163152436526605,2.3753377736968062e-12
99314,1018,7337,1,27,25,7.515974336286389,0.0,7.515974336286389,ok,ok,2.3072404667171686,5.208733869569222
100964,4805,6484,1,19,17,4.068448461605433,0.0,4.068448461605433,ok,ok,5.300510923405178,1.2320624617997449
100993,627,4891,1,4,2,0.4407121487367928,0.0,0.4407121487367928,ok,ok,0.440712148715847,2.0945746873057836e-11
